,image_name,finder_color,expand,threshold,morph_op,morph_iters,detection_res
0,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_701_BARCODE_101.png,black,0,-1,3,1,True
1,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_703_BARCODE_101.png,black,0,-1,3,1,True
2,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_705_BARCODE_101.png,black,0,-1,3,1,True
3,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_707_BARCODE_101.png,black,0,-1,3,1,True
4,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_709_BARCODE_101.png,black,0,-1,3,1,True
5,1050_cbfbe682-9cf0-4e1d-9655-584bed334d20_white_BARCODE_711_BARCODE_101.png,black,0,-1,3,1,True
6,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_118_BARCODE_101.png,black,0,-1,3,1,True
7,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_119_BARCODE_101.png,black,0,-1,3,1,True
8,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_121_BARCODE_101.png,black,0,-1,3,1,True
9,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_123_BARCODE_101.png,black,0,-1,3,1,True
10,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_124_BARCODE_101.png,black,0,-1,3,1,True
11,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_127_BARCODE_101.png,black,0,-1,3,1,True
12,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_129_BARCODE_101.png,black,0,-1,3,1,True
13,1051_b3ed371e-17e2-4ceb-b619-efbd2d1327f8_white_BARCODE_131_BARCODE_101.png,black,0,-1,3,1,True
14,1089_a1ad3269-90b9-45cf-8403-7312e309fd74_white_BARCODE_2012_BARCODE_101.png,black,0,-1,3,1,True
15,1089_a1ad3269-90b9-45cf-8403-7312e309fd74_white_BARCODE_2015_BARCODE_101.png,black,0,-1,3,1,True
16,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_221_BARCODE_101.png,black,0,-1,3,1,True
17,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_222_BARCODE_101.png,black,0,-1,3,1,True
18,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_227_BARCODE_101.png,black,0,-1,3,1,True
19,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_228_BARCODE_101.png,black,0,-1,3,1,True
20,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_229_BARCODE_101.png,black,0,-1,3,1,True
21,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_230_BARCODE_101.png,black,0,-1,3,1,True
22,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_231_BARCODE_101.png,black,0,-1,3,1,True
23,1176_41fcb515-560b-4417-9226-ef7b3d6072a7_white_BARCODE_232_BARCODE_101.png,black,0,-1,3,1,True
24,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_222_BARCODE_101.png,black,0,-1,3,1,True
25,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_223_BARCODE_101.png,black,0,-1,3,1,True
26,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_224_BARCODE_101.png,black,0,-1,3,1,True
27,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_225_BARCODE_101.png,black,0,-1,3,1,True
28,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_226_BARCODE_101.png,black,0,-1,3,1,True
29,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_227_BARCODE_101.png,black,0,-1,3,1,True
30,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_234_BARCODE_101.png,black,0,-1,3,1,True
31,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_235_BARCODE_101.png,black,0,-1,3,1,True
32,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_236_BARCODE_101.png,black,0,-1,3,1,True
33,147425_4b500572-c2e0-4bfc-a239-5deca7ca7f76_white_BARCODE_237_BARCODE_101.png,black,0,-1,3,1,False
34,152703_c2ebf547-76e9-4b6b-bc79-a9a100fa7d82_white_BARCODE_219_BARCODE_101.png,black,0,-1,3,1,True
35,152703_c2ebf547-76e9-4b6b-bc79-a9a100fa7d82_white_BARCODE_220_BARCODE_101.png,black,0,-1,3,1,True
36,152703_c2ebf547-76e9-4b6b-bc79-a9a100fa7d82_white_BARCODE_221_BARCODE_101.png,black,0,-1,3,1,True
37,152703_c2ebf547-76e9-4b6b-bc79-a9a100fa7d82_white_BARCODE_223_BARCODE_101.png,black,0,-1,3,1,True
38,16400_a46bb548-5504-410e-8345-ab2223e5e5f6_white_BARCODE_101_BARCODE_101.png,black,0,-1,3,1,True
39,16400_a46bb548-5504-410e-8345-ab2223e5e5f6_white_BARCODE_103_BARCODE_101.png,black,0,-1,3,1,True
40,168474_2cd99f7e-24d2-44d8-a37a-32779c694f6f_white_BARCODE_1200_BARCODE_101.png,black,0,-1,3,1,False
41,171574_544a1cf3-58cd-4a39-8848-7decdc2a0fe8_white_BARCODE_205_BARCODE_101.png,black,0,-1,3,1,True
